cve_id,project_name,programming_language,file_path,function_name,cwe_id,patch_size,fix_commit_hash
CVE-2022-42898,krb5/krb5,C,src/lib/krb5/krb/pac.c,krb5_pac_parse,CWE-190,9,ea92d2f0fcceb54a70910fa32e9a0d7a5afc3583
CVE-2022-42898,krb5/krb5,C,src/lib/krb5/krb/pac.c,krb5_pac_parse,CWE-190,9,ea92d2f0fcceb54a70910fa32e9a0d7a5afc3583
CVE-2022-42898,krb5/krb5,C,src/lib/krb5/krb/pac.c,krb5_pac_parse,CWE-190,9,ea92d2f0fcceb54a70910fa32e9a0d7a5afc3583
CVE-2022-42898,krb5/krb5,C,src/lib/krb5/krb/pac.c,krb5_pac_parse,CWE-190,9,ea92d2f0fcceb54a70910fa32e9a0d7a5afc3583
CVE-2022-42898,krb5/krb5,C,src/lib/krb5/krb/pac.c,krb5_pac_parse,CWE-190,9,ea92d2f0fcceb54a70910fa32e9a0d7a5afc3583
CVE-2022-42898,krb5/krb5,C,src/lib/krb5/krb/pac.c,krb5_pac_parse,CWE-190,9,ea92d2f0fcceb54a70910fa32e9a0d7a5afc3583
CVE-2022-42898,krb5/krb5,C,src/lib/krb5/krb/pac.c,krb5_pac_parse,CWE-190,9,ea92d2f0fcceb54a70910fa32e9a0d7a5afc3583
CVE-2022-42898,krb5/krb5,C,src/lib/krb5/krb/pac.c,krb5_pac_parse,CWE-190,9,ea92d2f0fcceb54a70910fa32e9a0d7a5afc3583
CVE-2020-8428,torvalds/linux,C,fs/namei.c,do_last,CWE-416,17,d0cb50185ae942b03c4327be322055d622dc79f6
CVE-2020-8428,torvalds/linux,C,fs/namei.c,do_last,CWE-416,17,d0cb50185ae942b03c4327be322055d622dc79f6
CVE-2020-8428,torvalds/linux,C,fs/namei.c,do_last,CWE-416,17,d0cb50185ae942b03c4327be322055d622dc79f6
CVE-2020-8428,torvalds/linux,C,fs/namei.c,do_last,CWE-416,17,d0cb50185ae942b03c4327be322055d622dc79f6
CVE-2020-8428,torvalds/linux,C,fs/namei.c,do_last,CWE-416,17,d0cb50185ae942b03c4327be322055d622dc79f6
CVE-2020-8428,torvalds/linux,C,fs/namei.c,do_last,CWE-416,17,d0cb50185ae942b03c4327be322055d622dc79f6
CVE-2020-8428,torvalds/linux,C,fs/namei.c,do_last,CWE-416,17,d0cb50185ae942b03c4327be322055d622dc79f6
CVE-2020-8428,torvalds/linux,C,fs/namei.c,do_last,CWE-416,17,d0cb50185ae942b03c4327be322055d622dc79f6
CVE-2020-8428,torvalds/linux,C,fs/namei.c,may_create_in_sticky,CWE-416,17,d0cb50185ae942b03c4327be322055d622dc79f6
CVE-2020-8428,torvalds/linux,C,fs/namei.c,may_create_in_sticky,CWE-416,17,d0cb50185ae942b03c4327be322055d622dc79f6
CVE-2020-8428,torvalds/linux,C,fs/namei.c,may_create_in_sticky,CWE-416,17,d0cb50185ae942b03c4327be322055d622dc79f6
CVE-2020-8428,torvalds/linux,C,fs/namei.c,may_create_in_sticky,CWE-416,17,d0cb50185ae942b03c4327be322055d622dc79f6
CVE-2020-8428,torvalds/linux,C,fs/namei.c,may_create_in_sticky,CWE-416,17,d0cb50185ae942b03c4327be322055d622dc79f6
CVE-2020-8428,torvalds/linux,C,fs/namei.c,may_create_in_sticky,CWE-416,17,d0cb50185ae942b03c4327be322055d622dc79f6
CVE-2020-8428,torvalds/linux,C,fs/namei.c,may_create_in_sticky,CWE-416,17,d0cb50185ae942b03c4327be322055d622dc79f6
CVE-2020-8428,torvalds/linux,C,fs/namei.c,may_create_in_sticky,CWE-416,17,d0cb50185ae942b03c4327be322055d622dc79f6
CVE-2020-9383,torvalds/linux,C,drivers/block/floppy.c,set_fdc,CWE-125,7,2e90ca68b0d2f5548804f22f0dd61145516171e3
CVE-2020-9383,torvalds/linux,C,drivers/block/floppy.c,set_fdc,CWE-125,7,2e90ca68b0d2f5548804f22f0dd61145516171e3
CVE-2020-9383,torvalds/linux,C,drivers/block/floppy.c,set_fdc,CWE-125,7,2e90ca68b0d2f5548804f22f0dd61145516171e3
CVE-2020-9383,torvalds/linux,C,drivers/block/floppy.c,set_fdc,CWE-125,7,2e90ca68b0d2f5548804f22f0dd61145516171e3
CVE-2020-9383,torvalds/linux,C,drivers/block/floppy.c,set_fdc,CWE-125,7,2e90ca68b0d2f5548804f22f0dd61145516171e3
CVE-2020-9383,torvalds/linux,C,drivers/block/floppy.c,set_fdc,CWE-125,7,2e90ca68b0d2f5548804f22f0dd61145516171e3
CVE-2020-9383,torvalds/linux,C,drivers/block/floppy.c,set_fdc,CWE-125,7,2e90ca68b0d2f5548804f22f0dd61145516171e3
CVE-2020-9383,torvalds/linux,C,drivers/block/floppy.c,set_fdc,CWE-125,7,2e90ca68b0d2f5548804f22f0dd61145516171e3
CVE-2020-11609,torvalds/linux,C,drivers/media/usb/gspca/stv06xx/stv06xx.c,stv06xx_isoc_init,CWE-476,19,485b06aadb933190f4bc44e006076bc27a23f205
CVE-2020-11609,torvalds/linux,C,drivers/media/usb/gspca/stv06xx/stv06xx.c,stv06xx_isoc_init,CWE-476,19,485b06aadb933190f4bc44e006076bc27a23f205
CVE-2020-11609,torvalds/linux,C,drivers/media/usb/gspca/stv06xx/stv06xx.c,stv06xx_isoc_init,CWE-476,19,485b06aadb933190f4bc44e006076bc27a23f205
CVE-2020-11609,torvalds/linux,C,drivers/media/usb/gspca/stv06xx/stv06xx.c,stv06xx_isoc_init,CWE-476,19,485b06aadb933190f4bc44e006076bc27a23f205
CVE-2020-11609,torvalds/linux,C,drivers/media/usb/gspca/stv06xx/stv06xx.c,stv06xx_isoc_init,CWE-476,19,485b06aadb933190f4bc44e006076bc27a23f205
CVE-2020-11609,torvalds/linux,C,drivers/media/usb/gspca/stv06xx/stv06xx.c,stv06xx_isoc_init,CWE-476,19,485b06aadb933190f4bc44e006076bc27a23f205
CVE-2020-11609,torvalds/linux,C,drivers/media/usb/gspca/stv06xx/stv06xx.c,stv06xx_isoc_init,CWE-476,19,485b06aadb933190f4bc44e006076bc27a23f205
CVE-2020-11609,torvalds/linux,C,drivers/media/usb/gspca/stv06xx/stv06xx.c,stv06xx_isoc_init,CWE-476,19,485b06aadb933190f4bc44e006076bc27a23f205
CVE-2020-11668,torvalds/linux,C,drivers/media/usb/gspca/xirlink_cit.c,sd_isoc_init,CWE-476,18,a246b4d547708f33ff4d4b9a7a5dbac741dc89d8
CVE-2020-11668,torvalds/linux,C,drivers/media/usb/gspca/xirlink_cit.c,sd_isoc_init,CWE-476,18,a246b4d547708f33ff4d4b9a7a5dbac741dc89d8
CVE-2020-11668,torvalds/linux,C,drivers/media/usb/gspca/xirlink_cit.c,sd_isoc_init,CWE-476,18,a246b4d547708f33ff4d4b9a7a5dbac741dc89d8
